% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
54.77%,0.936599424,45.23%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,768,41,Cluster 1,15.58073654,30.02832861,95.22637174,95.22637174,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,325,Pakistan,Bagh,30.87818697,24,64.89409293,2.59%,10.76487252,81.75,95.22637174,9.07,67.8,64.89409293,17.06%,1,0.577371048,347,0.422628952,254,3.70%,351415,12,10,AJK,14.8,24.92917847,5379,37.39376771,601,2013
62.50%,0.594202899,37.50%,0.359903382,0.04589372,15.25%,20.21%,17.38%,15.43%,1516,41,Cluster 1,25.28473804,48.51936219,87.50110629,87.50110629,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,246,Pakistan,Bhimber,30.523918,24,74.48360991,2.59%,19.36218679,80.33333333,87.50110629,9.07,54.9,74.48360991,31.74%,1,0.695798319,414,0.304201681,181,3.70%,301633,149,19,AJK,75.2,28.88382688,5379,20.72892939,595,2013
86.63%,0.9390681,13.37%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,,41,Cluster 1,7.971014493,13.76811594,63.36633663,63.36633663,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,262,Pakistan,Hattian,39.13043478,24,47.57908416,2.59%,7.608695652,78.75,63.36633663,9.07,48.2,47.57908416,53.74%,1,0.736147757,279,0.263852243,100,3.70%,,6,11,AJK,0,22.46376812,5379,43.84057971,379,2013
60.77%,0.827225131,39.23%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,600,41,Cluster 1,3.20855615,6.417112299,89.23416789,89.23416789,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,158,Pakistan,Haveli,27.80748663,24,53.02104197,2.59%,1.604278075,80.75,89.23416789,9.07,42.1,53.02104197,56.69%,1,0.729007634,191,0.270992366,71,3.70%,150000,8,25,AJK,0,13.04812834,5379,26.20320856,262,2013
60.75%,0.592348285,39.25%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,2162,41,Cluster 1,11.33069829,47.16732543,89.24691358,89.24691358,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,449,Pakistan,Kotli,17.12779974,24,69.42839506,2.59%,10.40843215,78.83333333,89.24691358,9.07,36.43333333,69.42839506,46.44%,1,0.731660232,758,0.268339768,278,3.70%,834094,263,46,AJK,73.2,20.18445323,5379,14.88801054,1036,2013
58.48%,0.582191781,41.52%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,2310,41,Cluster 1,61.07055961,67.63990268,91.51741539,91.51741539,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,255,Pakistan,Mirpur,43.30900243,24,71.77102051,2.59%,50.60827251,76.83333333,91.51741539,9.07,47.53333333,71.77102051,1.28%,1,0.706451613,438,0.293548387,182,3.70%,754482,76,107,AJK,71.2,51.24087591,5379,33.57664234,620,2013
68.36%,0.940717629,31.64%,0.026521061,0.03276131,9.90%,10.83%,18.86%,24.33%,2496,41,Cluster 1,18.16770186,20.65217391,81.63689283,81.63689283,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,603,Pakistan,Muzaffarabad,33.38509317,24,55.98838988,2.59%,7.298136646,77.91666667,81.63689283,9.07,50.4,55.98838988,36.09%,1,0.718609865,641,0.281390135,251,3.70%,638973,17,21,AJK,14,24.06832298,5379,40.83850932,892,2013
80.78%,0.737327189,19.22%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,,41,Cluster 1,13.48837209,29.76744186,69.22055967,69.22055967,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,160,Pakistan,Neelum,44.65116279,24,67.31347325,2.59%,4.651162791,74.66666667,69.22055967,9.07,55.36666667,67.31347325,35.92%,1,0.777777778,217,0.222222222,62,3.70%,,40,17,AJK,70,27.06976744,5379,42.79069767,279,2013
62.60%,0.846975089,37.40%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,855,41,Cluster 1,4.416961131,17.66784452,87.40318706,87.40318706,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,476,Pakistan,Poonch,9.893992933,24,82.93829677,2.59%,1.413427562,78.75,87.40318706,9.07,77.6,82.93829677,47.43%,1,0.679564692,562,0.320435308,265,3.70%,411035,63,23,AJK,88,9.717314488,5379,15.19434629,827,2013
57.87%,0.707042254,42.13%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,569,41,Cluster 1,3.125,61.64772727,92.12651142,92.12651142,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",AJK,Gender parity score,251,Pakistan,Sudhnutti,8.806818182,24,74.76496119,2.59%,1.136363636,79.33333333,92.12651142,9.07,42,74.76496119,50.16%,1,0.718623482,355,0.281376518,139,3.70%,204091,80,24,AJK,85.6,16.64772727,5379,8.522727273,494,2013
100.00%,0.239631336,0.00%,0.188940092,0.571428571,35.94%,0.46%,54.38%,9.22%,12510,41,Cluster 1,41.50943396,5.660377358,46.86350484,46.86350484,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,52,Pakistan,Awaran,54.71698113,24,47.97837621,2.59%,0.943396226,85,46.86350484,9.07,22.45,47.97837621,0.00%,1,0.812734082,217,0.187265918,50,3.70%,118173,41,124,Balochistan,37.6,22.9245283,5379,11.79245283,267,2013
88.21%,0,11.79%,0.394316163,0.811722913,3.24%,31.57%,16.72%,48.46%,3514,41,Cluster 1,31.17338004,31.52364273,61.78773858,61.78773858,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,0,Pakistan,Barkhan,64.44833625,24,43.24068464,2.59%,16.46234676,30,61.78773858,9.07,18.775,43.24068464,0.00%,1,0.924466338,563,0.075533662,46,3.70%,103545,222,457,Balochistan,62.4,29.03677758,5379,1.576182137,609,2013
80.41%,0.342723005,19.59%,0.122065728,0.535211268,22.95%,2.46%,43.85%,30.74%,44748,41,Cluster 1,46.9072165,5.670103093,69.58766046,69.58766046,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,73,Pakistan,Chaghi,100,24,52.74691512,2.59%,6.18556701,47.5,69.58766046,9.07,31.1,52.74691512,0.00%,1,0.825581395,213,0.174418605,45,3.70%,300000,26,114,Balochistan,62.8,37.5257732,5379,28.86597938,258,2013
100.00%,0.612244898,0.00%,0.227891156,0.159863946,22.22%,3.82%,51.04%,22.92%,10160,41,Cluster 1,11.07142857,5.357142857,44.62528431,44.62528431,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,180,Pakistan,Dera Bugti,78.92857143,24,25.72298774,2.59%,4.285714286,16.66666667,44.62528431,9.07,16,25.72298774,0.00%,1,0.825842697,294,0.174157303,62,3.70%,181310,67,47,Balochistan,25.6,20.5,5379,2.857142857,356,2013
82.59%,0.244239631,17.41%,0.230414747,0.525345622,44.58%,1.61%,31.73%,22.09%,12637,41,Cluster 1,35.71428571,9.047619048,67.4108143,67.4108143,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,53,Pakistan,Gwadar,77.14285714,24,58.85270358,2.59%,37.61904762,80,67.4108143,9.07,50,58.85270358,0.00%,1,0.794871795,217,0.205128205,56,3.70%,185498,50,114,Balochistan,38,39.04761905,5379,35.71428571,273,2013
74.75%,0.280821918,25.25%,0.143835616,0.575342466,12.05%,11.45%,39.16%,37.35%,4096,41,Cluster 1,11.25827815,17.21854305,75.24629419,75.24629419,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,41,Pakistan,Harnai,96.02649007,24,65.60324021,2.59%,9.933774834,81.66666667,75.24629419,9.07,53.9,65.60324021,0.00%,1,0.863905325,146,0.136094675,23,3.70%,140000,21,84,Balochistan,51.6,33.77483444,5379,34.43708609,169,2013
79.61%,0.142857143,20.39%,0.187122736,0.670020121,12.41%,20.11%,28.20%,39.29%,2445,41,Cluster 1,18.96135266,7.850241546,70.39449675,70.39449675,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,71,Pakistan,Jaffarabad,78.74396135,24,52.53404086,2.59%,19.56521739,44.16666667,70.39449675,9.07,53.175,52.53404086,0.00%,1,0.878091873,497,0.121908127,69,3.70%,432817,93,333,Balochistan,42.4,25.4589372,5379,2.173913043,566,2013
92.21%,0.194331984,7.79%,0.198380567,0.607287449,10.68%,22.06%,27.40%,39.86%,3615,41,Cluster 1,22.17573222,4.60251046,57.7947272,57.7947272,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,48,Pakistan,Jhal Magsi,100,24,66.4799318,2.59%,6.276150628,80,57.7947272,9.07,50.125,66.4799318,0.00%,1,0.831649832,247,0.168350168,50,3.70%,109941,49,150,Balochistan,78,28.20083682,5379,7.949790795,297,2013
100.00%,0.225063939,0.00%,0.350383632,0.42455243,40.07%,5.05%,47.29%,7.58%,7499,41,Cluster 1,20.75471698,5.39083558,48.91666476,48.91666476,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,88,Pakistan,Kachhi,77.35849057,24,46.83749952,2.59%,22.91105121,75.83333333,48.91666476,9.07,45,46.83749952,0.00%,1,0.863134658,391,0.136865342,62,3.70%,288056,137,166,Balochistan,17.6,26.19946092,5379,4.582210243,453,2013
62.95%,0.228070175,37.05%,0.280701754,0.49122807,26.71%,10.87%,34.75%,27.66%,6622,41,Cluster 1,38.99204244,9.549071618,87.05213892,87.05213892,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,91,Pakistan,Kalat,82.22811671,24,59.2797014,2.59%,7.692307692,84.16666667,87.05213892,9.07,31.5,59.2797014,0.00%,1,0.836477987,399,0.163522013,78,3.70%,237834,112,196,Balochistan,34.4,32.4137931,5379,23.60742706,477,2013
74.25%,0.442913386,25.75%,0.206692913,0.350393701,57.11%,1.26%,37.03%,4.60%,22539,41,Cluster 1,35.67010309,14.84536083,75.7494258,75.7494258,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,225,Pakistan,Kech,49.07216495,24,59.08943978,2.59%,23.09278351,65.83333333,75.7494258,9.07,50.375,59.08943978,0.00%,1,0.765060241,508,0.234939759,156,3.70%,413204,105,178,Balochistan,44.4,30.18556701,5379,28.24742268,664,2013
71.53%,0.054644809,28.47%,0.295081967,0.650273224,68.20%,0.00%,29.95%,1.84%,8958,41,Cluster 1,18.28571429,20.57142857,78.47170906,78.47170906,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,10,Pakistan,Kharan,44,24,52.4012606,2.59%,8.571428571,73.33333333,78.47170906,9.07,29,52.4012606,0.00%,1,0.788793103,183,0.211206897,49,3.70%,132500,54,119,Balochistan,28.8,19.31428571,5379,5.142857143,232,2013
62.48%,0.321711569,37.52%,0.17274168,0.505546751,24.20%,7.78%,36.55%,31.47%,35380,41,Cluster 1,30.05181347,14.33506045,87.51522843,87.51522843,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,203,Pakistan,Khuzdar,70.63903282,24,50.99339044,2.59%,14.16234888,78.33333333,87.51522843,9.07,16.125,50.99339044,0.00%,1,0.869146006,631,0.130853994,95,3.70%,417466,109,319,Balochistan,22,30.08635579,5379,21.24352332,726,2013
100.00%,0.194063927,0.00%,0.235159817,0.570776256,16.70%,10.92%,41.97%,30.41%,3293,41,Cluster 1,38.84892086,23.02158273,30.91688545,30.91688545,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,85,Pakistan,Killa Abdullah,41.2470024,24,40.7938047,2.59%,15.10791367,78.33333333,30.91688545,9.07,35.125,40.7938047,0.00%,1,0.857142857,438,0.142857143,73,3.70%,370269,103,250,Balochistan,18.8,27.3381295,5379,18.46522782,511,2013
100.00%,0.03142329,0.00%,0.336414048,0.632162662,13.09%,26.36%,23.82%,36.73%,6831,41,Cluster 1,30.52434457,21.16104869,46.68646735,46.68646735,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,17,Pakistan,Killa Saifullah,47.75280899,24,51.1882835,2.59%,23.97003745,44.16666667,46.68646735,9.07,48.3,51.1882835,0.00%,1,0.892739274,541,0.107260726,65,3.70%,193553,182,342,Balochistan,65.6,28.65168539,5379,19.85018727,606,2013
100.00%,0,0.00%,0.202970297,0.824257426,19.41%,16.48%,15.80%,48.31%,7610,41,Cluster 1,16.84491979,25.93582888,37.33255043,37.33255043,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,0,Pakistan,Kohlu,43.31550802,24,34.45605427,2.59%,14.70588235,41.66666667,37.33255043,9.07,14.825,34.45605427,0.00%,1,0.905829596,404,0.094170404,42,3.70%,99846,82,333,Balochistan,44,20.7486631,5379,2.941176471,446,2013
81.87%,0.362934363,18.13%,0.185328185,0.451737452,18.09%,11.52%,32.62%,37.77%,15153,41,Cluster 1,22.61410788,6.846473029,68.12652166,68.12652166,Year on Year Change,What are these scores? How they are Derived?,"5,379.00",Balochistan,Gender parity score,188,Pakistan,Lasbela,78.63070539,24,43.38371375,2.59%,9.336099585,48.33333333,68.12652166,9.07,19.075,43.38371375,0.00%,1,0.854785479,518,0.145214521,88,3.70%,312695,96,234,Balochistan,38,27.21991701,5379,18.67219917,606,2013
